"EDITO","European Digital Twin","Brussels","Belgium","EDITO","X","rgba(15,122,175,0.75)",50.85045,4.34878,"https://www.edito.eu"
"CMEMS","Copernicus Marine Service","Toulouse","France","PRODUCER","C","rgba(175,225,175,0.75)",43.599998,1.43333,"https://marine.copernicus.eu/"
"EMODnet","European Marine Observation and Data Network","Ostend","Belgium","PRODUCER","E","rgba(175,225,175,0.75)",51.215430,2.928656,"https://emodnet.ec.europa.eu/en"
"MetNo","MetNo","Oslo","Norway","PRODUCER","CP","rgba(15,122,175,0.75)",59.9138,10.7522,"https://www.edito.eu"
"ACRI","ACRI","Nice","France","PRODUCER","CP","rgba(15,122,175,0.75)",43.7019,7.2683,"https://www.edito.eu"
"AWI","AWI","Potsdam","Germany","PRODUCER","CP","rgba(15,122,175,0.75)",52.4000,13.0667,"https://www.edito.eu"
"AZTI","AZTI","Pasaia","Spain","PRODUCER","CP","rgba(15,122,175,0.75)",43.3264,-1.9192,"https://www.edito.eu"
"BSH","BSH","Hamburg","Germany","PRODUCER","CP","rgba(15,122,175,0.75)",53.551,9.9936,"https://www.edito.eu"
"Brockmann","Brockmann","Hamburg","Germany","PRODUCER","CP","rgba(15,122,175,0.75)",53.551,9.9936,"https://www.edito.eu"
"CINECA","CINECA","Bologna","Italy","PRODUCER","CP","rgba(255,255,0,0.75)",44.4939,11.3428,"https://www.edito.eu"
"CLS","CLS","Toulouse","France","PRODUCER","CP","rgba(15,122,175,0.75)",43.6044,1.4439,"https://www.edito.eu"
"CMCC","Centro Euro-Mediterraneo sui Cambiamenti Climatici","Lecce","Italy","PRODUCER","CP","rgba(255,255,0,0.75)",40.3533,18.174,"https://www.cmcc.it/it"
"CNR","CNR","Rome","Italy","PRODUCER","CP","rgba(15,122,175,0.75)",41.8931,12.4828,"https://www.edito.eu"
"DMI","Danmarks Meteorologiske Institut","Copenhagen","Denmark","PRODUCER","CP","rgba(255,255,0,0.75)",55.676098,12.568337,"https://www.dmi.dk"
"DTU","DTU","Kongens Lyngby","Denmark","PRODUCER","CP","rgba(15,122,175,0.75)",55.7700,12.5000","https://www.edito.eu"
"ETT","ETT","Genoa","Italy","PRODUCER","CP","rgba(15,122,175,0.75)",44.4072,8.9340,"https://www.edito.eu"
"FMI","FMI","Helsinki","Finland","PRODUCER","CP","rgba(15,122,175,0.75)",60.1756,24.9342,"https://www.edito.eu"
"HCMR","Hellenic Centre for Marine Research","Anavyssos","Greece","PRODUCER","CP","rgba(15,122,175,0.75)",37.73414,23.94389,"https://www.hcmr.gr/en/"
"HEREON","HEREON","Hamburg","Germany","PRODUCER","CP","rgba(255,255,0,0.75)",53.551,9.9936,"https://www.edito.eu"
"Ifremer","Ifremer","Brest, France","France","PRODUCER","CP","rgba(15,122,175,0.75)",48.3900,-4.4869,"https://www.edito.eu"
"IMEDEA","IMEDEA","Palma de Mallorca","Spain","PRODUCER","CP","rgba(15,122,175,0.75)",39.5667,2.6497,"https://www.edito.eu"
"IMEV-MER","IMEV-MER","Villefranche-sur-Mer","France","PRODUCER","CP","rgba(15,122,175,0.75)",43.7042,7.3117,"https://www.edito.eu"
"IMR","IMR","Bergen","Norway","PRODUCER","CP","rgba(15,122,175,0.75)",60.3925,5.3233,"https://www.edito.eu"
"IO-BAS","IO-BAS","Varna, Bulgaria","Bulgaria","PRODUCER","CP","rgba(15,122,175,0.75)",43.2114,27.9111,"https://www.edito.eu"
"KNMI","KNMI","Utrecht","Netherlands","PRODUCER","CP","rgba(15,122,175,0.75)",52.0908,5.1217,"https://www.edito.eu"
"Lobelia","Lobelia","Barcelona","Spain","PRODUCER","CP","rgba(15,122,175,0.75)",41.3825,2.1769,"https://www.edito.eu"
"LSCE-IPSL","LSCE-IPSL","Paris","France","PRODUCER","CP","rgba(15,122,175,0.75)",48.8567,2.3522,"https://www.edito.eu"
"MF","MétéoFrance","Toulouse","France","PRODUCER","CP","rgba(15,122,175,0.75)",43.6044,1.4439,"https://www.edito.eu"
"MOi","Mercator Océan International","Toulouse","France","PRODUCER","CP","rgba(255,255,0,0.75)",43.6044,1.4439,"https://www.edito.eu"
"Natural Science BE","Natural Science BE","Brussels","Belgium","PRODUCER","CP","rgba(15,122,175,0.75)",50.8467,4.3525,"https://www.edito.eu"
"NERSC","Nansen Environmental and Remote Sensing Center","Bergen","Norway","PRODUCER","CP","rgba(255,255,0,0.75)",60.3912628,5.3220544,"https://nersc.no/en/"
"Nologin","Nologin","Madrid","Spain","PRODUCER","CP","rgba(15,122,175,0.75)",40.4169,-3.7033,"https://www.edito.eu"
"OBS-VLFR","OBS-VLFR","Villefranche-sur-Mer","France","PRODUCER","CP","rgba(15,122,175,0.75)",43.7042,7.3117,"https://www.edito.eu"
"OceanScope","OceanScope","Brest, France","France","PRODUCER","CP","rgba(15,122,175,0.75)",48.3900,-4.4869,"https://www.edito.eu"
"OGS","OGS","Trieste","Italy","PRODUCER","CP","rgba(15,122,175,0.75)",45.6503,13.7703,"https://www.edito.eu"
"PdE","Puertos del Estado","Madrid","Spain","PRODUCER","CP","rgba(15,122,175,0.75)",40.4169,-3.7033,"https://www.edito.eu"
"PML","PML","Plymouth","United Kingdom","PRODUCER","CP","rgba(15,122,175,0.75)",50.3714,-4.1422,"https://www.edito.eu"
"POKAPOK","POKAPOK","Plouzané","France","PRODUCER","CP","rgba(15,122,175,0.75)",48.3800,-4.6006,"https://www.edito.eu"
"SCALETECH","SCALETECH","Potsdam","Germany","PRODUCER","CP","rgba(15,122,175,0.75)",52.4000,13.0667,"https://www.edito.eu"
"SERCO","SERCO","Auderghem","Belgium","PRODUCER","CP","rgba(15,122,175,0.75)",50.8172,4.4269,"https://www.edito.eu"
"SMHI","SMHI","Norrköping","Sweden","PRODUCER","CP","rgba(15,122,175,0.75)",58.5793,16.1493,"https://www.edito.eu"
"SOCIB","SOCIB","Palma de Mallorca","Spain","PRODUCER","CP","rgba(15,122,175,0.75)",39.5667,2.6497,"https://www.edito.eu"
"TALTECH","TALTECH","Tallinn","Estonia","PRODUCER","CP","rgba(15,122,175,0.75)",59.4372,24.7450,"https://www.edito.eu"
"UK MO","UK MetOffice","Reading, Berkshire","United Kingdom","PRODUCER","CP","rgba(15,122,175,0.75)",51.4542,-0.9731,"https://www.edito.eu"
"UNIBO","University Bologna","Bologna","Italy","PRODUCER","CP","rgba(255,255,0,0.75)",44.4939,11.3428,"https://www.edito.eu"
"Uni Liège","University Liège","Liège","Belgium","PRODUCER","CP","rgba(15,122,175,0.75)",50.6397,5.5706,"https://www.edito.eu"
"Uni Sofia","Uni Sofia","Sofia","Bulgaria","PRODUCER","CP","rgba(15,122,175,0.75)",42.6979,23.3217,"https://www.edito.eu"
"CEDRE","Centre for Documentation Research and Experimentation on Accidental Water Pollution","Brest, France","FRANCE","Producer","EP","rgba(175,225,175,0.75)",48.3900,-4.4869,"https://www.edito.eu"
"INGV","Istituto Nazionale di Geofisica e Vulcanologia","Bologna","ITALY","Producer","EP","rgba(175,225,175,0.75)",44.4939,11.3428,"https://www.edito.eu"
"Tbilisi University","Tbilisi State University","Tbilisi","GEORGIA","Producer","EP","rgba(175,225,175,0.75)",41.716,44.783,"https://www.edito.eu"
"52°North","52°North Spatial Information Research GmbH","Münster","GERMANY","Producer","EP","rgba(175,225,175,0.75)",51.9625,7.6256,"https://www.edito.eu"
"AND","A.N.D. International","Paris","FRANCE","Producer","EP","rgba(175,225,175,0.75)",48.8567,2.3522,"https://www.edito.eu"
"ENEA","Agenzia nazionale per le nuove tecnologie","Rome","ITALY","Producer","EP","rgba(175,225,175,0.75)",41.8931,12.4828,"https://www.edito.eu"
"AGS","Albanian Geological Survey","Tirana","ALBANIA","Producer","EP","rgba(175,225,175,0.75)",41.3289,19.8178,"https://www.edito.eu"
"AWI","Alfred Wegener Institute","Bremerhaven","GERMANY","Producer","EP","rgba(175,225,175,0.75)",53.5500,8.5833,"https://www.edito.eu"
"ACC","Anguilla Community College","The Valley, Anguilla","ANGUILLA","Producer","EP","rgba(175,225,175,0.75)",18.2208,-63.0517,"https://www.edito.eu"
"AZTI","AZTI Tecnalia","Pasaia","SPAIN","Producer","EP","rgba(175,225,175,0.75)",43.3264,-1.9192,"https://www.edito.eu"
"SOCIB","Balearic Islands Coastal Observing and Forecasting System","Palma de Mallorca","SPAIN","Producer","EP","rgba(175,225,175,0.75)",39.5667,2.6497,"https://www.edito.eu"
"BSHC","Baltic Sea Hydrographic Commission","Monaco","MONACO","Producer","EP","rgba(175,225,175,0.75)",43.7333,7.416,"https://www.edito.eu"
"RBINS-ODNATURE-BMDC","Belgian Marine Data Centre","Brussels","BELGIUM","Producer","EP","rgba(175,225,175,0.75)",50.8467,4.3525,"https://www.edito.eu"
"BGS","British Geological Survey","Keyworth","UNITED KINGDOM","Producer","EP","rgba(175,225,175,0.75)",52.8739,-1.0831,"https://www.edito.eu"
"MARUM","Center for Marine Environmental Sciences","Bremen","GERMANY","Producer","EP","rgba(175,225,175,0.75)",53.0758,8.8072,"https://www.edito.eu"
