"EDITO","EDITO Infra WEkEO","Brussels","Belgium","EDITO","M","rgba(15,122,175,0.75)",50.85045, 4.34878,"https://www.edito.eu"
"CMS","Copernicus Marine Service - Mercator Ocean International","Toulouse","France","PRODUCER","M","rgba(175,225,175,0.75)",43.599998,1.43333,"https://www.mercator-ocean.eu"
"EMODnet","European Marine Observation and Data Network","Ostend","Belgium","PRODUCER","M","rgba(175,225,175,0.75)",51.215430,2.928656,"https://emodnet.ec.europa.eu/en"
"BSC","Barcelona Supercomputing Center","Barcelona","Spain","HPC","P","rgba(255,255,0,0.75)",41.390205,2.154007,"https://www.bsc.es"
"CINECA","CINECA Leonardo","Bologna","Italy","HPC","P","rgba(255,255,0,0.75)",44.494887,11.3426163,"https://leonardo-supercomputer.cineca.eu"
"LUMI","LUMI Supercomputer","Kajaani","Finland","HPC","P","rgba(255,255,0,0.75)",64.22728,27.72846,"https://www.lumi-supercomputer.eu"
"CMCC","Centro Euro-Mediterraneo sui Cambiamenti Climatici","Lecce","Italy","PRODUCER","P","rgba(175,225,175,0.75)",40.3533,18.174,"https://www.cmcc.it/it"
"HCMR","Hellenic Centre for Marine Research","Anavyssos","Greece","PRODUCER","P","rgba(175,225,175,0.75)",37.73414,23.94389,"https://www.hcmr.gr/en/"
"DMI","Danmarks Meteorologiske Institut","Copenhagen","Denmark","PRODUCER","P","rgba(175,225,175,0.75)",55.676098,12.568337,"https://www.dmi.dk"
"NERSC","Nansen Environmental and Remote Sensing Center","Bergen","Norway","PRODUCER","P","rgba(175,225,175,0.75)",60.3912628,5.3220544,"https://nersc.no/en/"
"HEREON","Helmholtz-Zentrum Hereon","Geesthacht","Germany","PRODUCER","P","rgba(175,225,175,0.75)",53.447625,10.383030,"https://www.hereon.de/index.php.en"
